koi_period,koi_impact
9.48803557,0.146
54.4183827,0.586
19.89913995,0.969
1.736952453,1.276
2.525591777,0.701
11.09432054,0.538
4.13443512,0.762
2.56658897,0.755
7.36178958,1.169
16.06864674,0.052
2.470613377,0.818
2.204735417,0.224
3.522498429,0.631
3.709214104,0.051
11.52144606,2.483
19.40393776,0.804
19.22138894,1.065
16.46983774,0.292
9.27358173,0.387
6.02930329,0.258
2.696370652,0.044
5.349553819,0.092
3.94105221,0.226
8.10904807,0.025
386.6030528,0.9765
21.67699193,0.896
4.99677968,0.71
4.280963604,0.424
1.50635409,0.86
670.645531,0.701
61.2563628,1.248
38.3775486,0.468
41.19725502,0.045
6.252962249,0.105
16.01308419,0.799
32.62876672,0.021
91.7732862,0.606
4.959319244,0.831
2.701287801,1.016
4.49876511,0.312
19.65120951,0.723
5.412203927,0.787
41.43958662,0.355
8.35389523,0.023
4.125543472,0.597
2.816504904,0.105
33.93373447,0.812
3.689920099,0.151
4.431238488,0.405
11.37936986,0.911
26.39432897,0.602
13.57078281,0.866
7.12594387,0.898
7.442652004,0.137
16.38489988,0.001
7.8774163,0.041
36.4454001,0.028
3.728732147,0.558
40.4195037,0.911
2.243380573,0.915
10.40599802,0.324
2.337437946,0.28
7.2406612,1.198
3.43591631,0.624
11.59822233,0.679
6.575315881,0.39
7.275040844,0.547
19.27153892,0.031
10.06524317,0.628
12.3935651,0.883
43.84439721,0.852
3.341913228,1.213
1.626630225,1.26
2.711504086,0.023
7.21203748,0.012
14.1798187,0.1601
8.47237911,0.022
60.4189369,0.094
12.61190435,0.55
1.433769925,1.268
10.31872301,1.215
2.539183147,0.238
6.770300385,0.838
0.444291966,1.258
10.181584,0.92
20.06036336,0.556
46.1842039,0.013
23.9800854,0.95
7.82502168,0.708
3.895936525,0.524
22.36646466,0.4
1.625522174,0.076
19.62034692,0.458
7.544039,1.175
9.02930689,0.024
10.32803571,0.281
143.2063047,0.379
6.164876,0.646
60.32494216,0.224
29.1598615,0.3619
1.540397253,1.225
2.99025443,0.014
1.594745374,0.514
4.783002698,0.003
20.50588921,0.26
3.340218842,0.466
2.507089906,1.255
18.64932728,0.08
4.90144976,0.529
9.75192101,0.949
38.5576546,0.911
3.525632539,0.12
34.84398644,0.934
7.748094239,0.517
23.96793669,0.416
8.11437482,0.573
38.03672948,0.501
4.64090031,1.28
3.747838198,1.121
14.74914825,0.173
21.81295996,0.053
7.91936937,0.733
1.028436523,1.5734
15.37562369,0.692
8.10363271,0.047
4.71510843,0.258
6.365839713,0.524
5.97581754,0.941
2.446737317,1.241
3.04033046,0.736
15.33528675,0.773
7.95825328,0.706
31.33046135,0.798
3.9043425,0.709
9.286358079,0.377
3.951405455,1.276
23.65369415,0.008
13.23352214,0.014
6.15560285,0.235
2.090811305,0.746
3.180027898,0.196
50.4467417,0.379
11.76307164,0.048
56.2279271,0.7
2.384052875,1.178
7.953547,0.3
4.14451656,0.004
4.859386384,1.259
10.52629458,0.644
4.583520948,0.045
3.76181843,0.926
8.20396958,0.823
14.49645186,0.97
6.54626149,0.644
12.71809866,0.427
36.06588163,0.26
4.190425659,0.458
3.709870784,0.023
16.3297527,0.791
27.80756622,0.782
80.8723469,0.527
3.166465862,1.266
24.99324319,0.686
10.35533116,0.029
16.08518937,0.867
235.9986399,0.778
7.49018305,0.02
36.2761238,0.035
17.46087931,0.594
56.0560754,0.018
41.40831669,0.377
39.74893077,0.881
5.715425977,0.348
49.18394185,0.035
20.0261412,0.957
13.61014819,1.081
10.44331991,0.23
2.237489571,0.128
5.851520671,0.211
3.167893418,0.026
4.311780262,0.196
20.0504494,0.383
